CustomerID	LastName	Address	City	State	ZipCode	OrderID	Paid?	OrderDate	PickupDate	BakeryItemID	BakeryItemName	BakeryItemCategory	Quantity	Price	Total	DiscountUsedOnOrder	TotalDue	AvailableDiscount	CurrentLoyalty
56	Robinson	634 Oak Ave.	Raleigh	NC	27612	101	Yes	11/5/10	12/31/10	8	Blackberry	Pies	1	17.00	17.00	0.00	17.00	0.00	17.00
33	Bittiman	1122 Glenwood Ave.	Durham	NC	27609	102	Yes	11/12/10	12/15/10	14	Candy Cane- Winter	Cupcakes	2	2.50	5.00	0.00	5.00	0.00	5.00
22	Williams	123 Garden Plow Way	Durham	NC	27609	103	Yes	11/26/10	12/18/10	81	Strawberry Swirl	Cakes	1	23.00	23.00	0.00	23.00	0.00	23.00
2	George	789 Brewer St.	Cary	NC	27513	104	Yes	12/2/10	12/4/10	19	Carrot Cake	Cupcakes	2	2.00	96.00	0.00	96.00	0.00	96.00
2	George	789 Brewer St.	Cary	NC	27513	104	Yes	12/2/10	12/4/10	34	Cranberry Orange	Cookies	1	3.00	96.00	0.00	96.00	0.00	96.00
2	George	789 Brewer St.	Cary	NC	27513	104	Yes	12/2/10	12/4/10	54	Lemon	Cakes	3	22.50	96.00	0.00	96.00	0.00	96.00
2	George	789 Brewer St.	Cary	NC	27513	104	Yes	12/2/10	12/4/10	56	Lemon Blueberry - Summer	Cakes	1	21.50	96.00	0.00	96.00	0.00	96.00
15	Smith	123 Hill Top Drive	Garner	NC	27610	105	Yes	12/4/10	12/19/10	10	Brownies	Pastries	1	2.00	38.00	0.00	38.00	0.00	38.00
15	Smith	123 Hill Top Drive	Garner	NC	27610	105	Yes	12/4/10	12/19/10	38	Easter Creme Cake- Spring	Cakes	1	17.00	38.00	0.00	38.00	0.00	38.00
15	Smith	123 Hill Top Drive	Garner	NC	27610	105	Yes	12/4/10	12/19/10	50	Hummingbird - Summer	Cakes	1	19.00	38.00	0.00	38.00	0.00	38.00
19	Freeman	78-A Meadowview Ln.	Durham	NC	27609	106	Yes	12/4/10	12/23/10	23	Chocolate Amaretto	Cupcakes	2	2.50	8.50	0.00	8.50	0.00	8.50
19	Freeman	78-A Meadowview Ln.	Durham	NC	27609	106	Yes	12/4/10	12/23/10	27	Chocolate Croissant	Pastries	1	3.50	8.50	0.00	8.50	0.00	8.50
18	Love	7825 Venice Ct.	Raleigh	NC	27605	107	Yes	12/6/10	12/24/10	28	Chocolate Mousse Cup	Pastries	1	5.00	7.50	0.00	7.50	0.00	7.50
